starttime	seconds	ctime	dtime	ttime	wait
Wed Jan 19 17:56:06 2022	1642604166	0	0	1	0
Wed Jan 19 17:55:56 2022	1642604156	0	2	2	2
Wed Jan 19 17:56:01 2022	1642604161	0	2	3	2
Wed Jan 19 17:56:06 2022	1642604166	0	8	9	1
Wed Jan 19 17:55:57 2022	1642604157	3	9	12	8
Wed Jan 19 17:55:54 2022	1642604154	2	10	12	9
Wed Jan 19 17:55:54 2022	1642604154	2	10	12	9
Wed Jan 19 17:55:54 2022	1642604154	1	11	12	9
Wed Jan 19 17:55:56 2022	1642604156	1	12	13	9
Wed Jan 19 17:55:54 2022	1642604154	1	11	13	9
Wed Jan 19 17:55:54 2022	1642604154	1	12	13	9
Wed Jan 19 17:55:56 2022	1642604156	1	13	13	9
Wed Jan 19 17:55:56 2022	1642604156	4	9	14	5
Wed Jan 19 17:55:54 2022	1642604154	1	13	14	9
Wed Jan 19 17:55:58 2022	1642604158	9	6	15	5
Wed Jan 19 17:56:01 2022	1642604161	7	8	15	7
Wed Jan 19 17:55:57 2022	1642604157	9	7	16	2
Wed Jan 19 17:55:55 2022	1642604155	11	5	16	5
Wed Jan 19 17:55:58 2022	1642604158	9	7	16	6
Wed Jan 19 17:55:56 2022	1642604156	4	12	16	9
Wed Jan 19 17:55:56 2022	1642604156	1	15	16	10
Wed Jan 19 17:55:55 2022	1642604155	11	5	16	5
Wed Jan 19 17:55:58 2022	1642604158	9	7	17	6
Wed Jan 19 17:55:57 2022	1642604157	11	6	17	3
Wed Jan 19 17:55:55 2022	1642604155	11	5	17	5
Wed Jan 19 17:55:56 2022	1642604156	1	16	17	13
Wed Jan 19 17:55:57 2022	1642604157	9	8	17	7
Wed Jan 19 17:55:58 2022	1642604158	9	8	17	6
Wed Jan 19 17:55:55 2022	1642604155	12	6	17	5
Wed Jan 19 17:56:01 2022	1642604161	7	10	17	8
Wed Jan 19 17:55:57 2022	1642604157	11	7	17	3
Wed Jan 19 17:55:57 2022	1642604157	9	8	17	8
Wed Jan 19 17:55:56 2022	1642604156	1	17	18	14
Wed Jan 19 17:56:01 2022	1642604161	7	11	18	9
Wed Jan 19 17:55:57 2022	1642604157	12	6	18	4
Wed Jan 19 17:55:57 2022	1642604157	11	7	18	3
Wed Jan 19 17:55:55 2022	1642604155	12	6	18	5
Wed Jan 19 17:55:54 2022	1642604154	1	17	18	13
Wed Jan 19 17:55:57 2022	1642604157	9	9	18	8
Wed Jan 19 17:56:06 2022	1642604166	0	18	18	16
Wed Jan 19 17:56:01 2022	1642604161	7	11	18	9
Wed Jan 19 17:55:58 2022	1642604158	0	18	18	15
Wed Jan 19 17:55:57 2022	1642604157	11	7	18	3
Wed Jan 19 17:55:57 2022	1642604157	12	6	18	4
Wed Jan 19 17:55:57 2022	1642604157	9	9	18	8
Wed Jan 19 17:55:56 2022	1642604156	2	17	18	14
Wed Jan 19 17:55:54 2022	1642604154	1	18	19	13
Wed Jan 19 17:55:57 2022	1642604157	11	8	19	3
Wed Jan 19 17:55:57 2022	1642604157	12	7	19	4
Wed Jan 19 17:56:00 2022	1642604160	1	18	19	17
Wed Jan 19 17:55:57 2022	1642604157	10	9	19	8
Wed Jan 19 17:55:57 2022	1642604157	11	8	19	3
Wed Jan 19 17:55:58 2022	1642604158	2	17	19	16
Wed Jan 19 17:56:07 2022	1642604167	2	17	19	14
Wed Jan 19 17:56:01 2022	1642604161	8	12	19	9
Wed Jan 19 17:55:56 2022	1642604156	8	11	19	10
Wed Jan 19 17:55:58 2022	1642604158	1	19	19	16
Wed Jan 19 17:55:58 2022	1642604158	1	19	19	16
Wed Jan 19 17:55:58 2022	1642604158	1	18	19	16
Wed Jan 19 17:56:01 2022	1642604161	6	13	19	13
Wed Jan 19 17:55:58 2022	1642604158	2	18	19	16
Wed Jan 19 17:55:57 2022	1642604157	13	7	19	4
Wed Jan 19 17:55:58 2022	1642604158	1	18	19	16
Wed Jan 19 17:55:58 2022	1642604158	1	18	19	16
Wed Jan 19 17:55:58 2022	1642604158	1	18	19	16
Wed Jan 19 17:55:58 2022	1642604158	1	18	19	16
Wed Jan 19 17:56:06 2022	1642604166	7	13	19	12
Wed Jan 19 17:55:57 2022	1642604157	11	8	20	4
Wed Jan 19 17:56:01 2022	1642604161	8	12	20	10
Wed Jan 19 17:55:56 2022	1642604156	3	16	20	13
Wed Jan 19 17:55:56 2022	1642604156	4	16	20	14
Wed Jan 19 17:55:56 2022	1642604156	1	19	20	19
Wed Jan 19 17:55:57 2022	1642604157	12	9	20	4
Wed Jan 19 17:55:57 2022	1642604157	13	7	20	5
Wed Jan 19 17:56:06 2022	1642604166	1	19	20	16
Wed Jan 19 17:56:06 2022	1642604166	1	20	20	16
Wed Jan 19 17:56:06 2022	1642604166	1	20	20	16
Wed Jan 19 17:56:01 2022	1642604161	8	13	20	12
Wed Jan 19 17:55:57 2022	1642604157	10	11	21	10
Wed Jan 19 17:55:58 2022	1642604158	3	18	21	17
Wed Jan 19 17:56:01 2022	1642604161	8	13	21	12
Wed Jan 19 17:55:56 2022	1642604156	8	13	21	12
Wed Jan 19 17:56:06 2022	1642604166	0	21	21	20
Wed Jan 19 17:55:52 2022	1642604152	1	21	21	0
Wed Jan 19 17:55:56 2022	1642604156	0	21	21	17
Wed Jan 19 17:56:01 2022	1642604161	8	14	21	13
Wed Jan 19 17:56:01 2022	1642604161	7	14	21	13
Wed Jan 19 17:56:01 2022	1642604161	8	14	21	13
Wed Jan 19 17:56:01 2022	1642604161	8	14	21	13
Wed Jan 19 17:55:56 2022	1642604156	9	13	21	12
Wed Jan 19 17:56:01 2022	1642604161	8	13	21	13
Wed Jan 19 17:56:01 2022	1642604161	7	14	22	14
Wed Jan 19 17:56:01 2022	1642604161	7	14	22	14
Wed Jan 19 17:56:06 2022	1642604166	8	14	22	13
Wed Jan 19 17:56:01 2022	1642604161	6	16	22	16
Wed Jan 19 17:55:54 2022	1642604154	0	22	22	16
Wed Jan 19 17:55:55 2022	1642604155	9	13	22	11
Wed Jan 19 17:55:56 2022	1642604156	9	13	22	12
Wed Jan 19 17:56:06 2022	1642604166	2	20	22	18
Wed Jan 19 17:55:56 2022	1642604156	0	22	22	19
Wed Jan 19 17:56:06 2022	1642604166	9	13	22	12
Wed Jan 19 17:55:55 2022	1642604155	9	13	22	11
Wed Jan 19 17:55:56 2022	1642604156	9	13	22	13
Wed Jan 19 17:55:58 2022	1642604158	14	8	22	6
Wed Jan 19 17:56:06 2022	1642604166	8	14	22	14
Wed Jan 19 17:56:06 2022	1642604166	9	14	22	12
Wed Jan 19 17:55:56 2022	1642604156	9	14	22	13
Wed Jan 19 17:56:06 2022	1642604166	8	14	23	14
Wed Jan 19 17:55:58 2022	1642604158	1	21	23	13
Wed Jan 19 17:55:58 2022	1642604158	14	9	23	6
Wed Jan 19 17:56:06 2022	1642604166	9	14	23	12
Wed Jan 19 17:55:58 2022	1642604158	10	13	23	11
Wed Jan 19 17:56:07 2022	1642604167	17	6	23	5
Wed Jan 19 17:55:58 2022	1642604158	1	22	23	17
Wed Jan 19 17:55:58 2022	1642604158	1	22	23	17
Wed Jan 19 17:55:56 2022	1642604156	2	21	23	20
Wed Jan 19 17:55:57 2022	1642604157	9	14	23	13
Wed Jan 19 17:56:06 2022	1642604166	0	23	23	21
Wed Jan 19 17:55:58 2022	1642604158	14	9	23	7
Wed Jan 19 17:56:07 2022	1642604167	17	6	23	5
Wed Jan 19 17:55:58 2022	1642604158	0	23	23	18
Wed Jan 19 17:56:06 2022	1642604166	8	15	23	14
Wed Jan 19 17:56:07 2022	1642604167	17	6	23	5
Wed Jan 19 17:55:54 2022	1642604154	12	11	23	11
Wed Jan 19 17:55:56 2022	1642604156	0	23	23	19
Wed Jan 19 17:55:57 2022	1642604157	9	14	23	14
Wed Jan 19 17:56:06 2022	1642604166	8	15	23	12
Wed Jan 19 17:56:06 2022	1642604166	8	15	23	14
Wed Jan 19 17:56:04 2022	1642604164	8	16	23	13
Wed Jan 19 17:56:04 2022	1642604164	7	16	23	13
Wed Jan 19 17:56:04 2022	1642604164	7	16	23	13
Wed Jan 19 17:56:04 2022	1642604164	7	16	23	13
Wed Jan 19 17:55:58 2022	1642604158	14	9	24	7
Wed Jan 19 17:56:07 2022	1642604167	17	6	24	5
Wed Jan 19 17:56:06 2022	1642604166	6	17	24	12
Wed Jan 19 17:56:06 2022	1642604166	9	15	24	14
Wed Jan 19 17:55:57 2022	1642604157	10	14	24	14
Wed Jan 19 17:56:06 2022	1642604166	8	15	24	12
Wed Jan 19 17:56:07 2022	1642604167	17	6	24	6
Wed Jan 19 17:56:06 2022	1642604166	8	16	24	12
Wed Jan 19 17:56:06 2022	1642604166	8	16	24	12
Wed Jan 19 17:55:56 2022	1642604156	10	14	24	9
Wed Jan 19 17:56:06 2022	1642604166	9	15	24	14
Wed Jan 19 17:55:57 2022	1642604157	10	14	24	14
Wed Jan 19 17:56:07 2022	1642604167	17	7	24	6
Wed Jan 19 17:55:54 2022	1642604154	12	12	24	12
Wed Jan 19 17:56:06 2022	1642604166	8	16	24	12
Wed Jan 19 17:56:04 2022	1642604164	7	17	24	12
Wed Jan 19 17:56:07 2022	1642604167	18	7	24	6
Wed Jan 19 17:55:56 2022	1642604156	4	20	24	20
Wed Jan 19 17:55:58 2022	1642604158	8	17	24	15
Wed Jan 19 17:55:55 2022	1642604155	9	16	24	13
Wed Jan 19 17:56:04 2022	1642604164	8	17	24	15
Wed Jan 19 17:56:03 2022	1642604163	5	19	24	18
Wed Jan 19 17:56:06 2022	1642604166	8	17	24	12
Wed Jan 19 17:56:07 2022	1642604167	18	7	24	6
Wed Jan 19 17:55:57 2022	1642604157	10	15	25	15
Wed Jan 19 17:55:58 2022	1642604158	8	17	25	16
Wed Jan 19 17:56:07 2022	1642604167	18	7	25	7
Wed Jan 19 17:55:57 2022	1642604157	10	15	25	15
Wed Jan 19 17:55:57 2022	1642604157	0	25	25	1
Wed Jan 19 17:56:04 2022	1642604164	8	17	25	15
Wed Jan 19 17:56:07 2022	1642604167	18	7	25	7
Wed Jan 19 17:56:06 2022	1642604166	9	16	25	16
Wed Jan 19 17:56:01 2022	1642604161	6	19	25	19
Wed Jan 19 17:56:06 2022	1642604166	0	25	25	24
Wed Jan 19 17:56:01 2022	1642604161	12	13	25	13
Wed Jan 19 17:56:04 2022	1642604164	9	16	25	15
Wed Jan 19 17:55:57 2022	1642604157	10	15	25	15
Wed Jan 19 17:56:04 2022	1642604164	7	18	25	12
Wed Jan 19 17:56:07 2022	1642604167	18	7	25	7
Wed Jan 19 17:56:04 2022	1642604164	7	18	25	12
Wed Jan 19 17:56:06 2022	1642604166	9	16	25	16
Wed Jan 19 17:56:01 2022	1642604161	12	14	25	13
Wed Jan 19 17:56:01 2022	1642604161	6	20	26	20
Wed Jan 19 17:56:06 2022	1642604166	9	17	26	16
Wed Jan 19 17:55:57 2022	1642604157	10	16	26	15
Wed Jan 19 17:55:57 2022	1642604157	10	16	26	10
Wed Jan 19 17:56:07 2022	1642604167	19	7	26	7
Wed Jan 19 17:56:01 2022	1642604161	6	20	26	20
Wed Jan 19 17:56:04 2022	1642604164	10	16	26	15
Wed Jan 19 17:55:56 2022	1642604156	1	25	26	12
Wed Jan 19 17:56:01 2022	1642604161	12	14	26	13
Wed Jan 19 17:56:04 2022	1642604164	5	21	26	14
Wed Jan 19 17:56:01 2022	1642604161	9	17	26	16
Wed Jan 19 17:56:07 2022	1642604167	19	8	26	7
Wed Jan 19 17:56:04 2022	1642604164	7	19	26	18
Wed Jan 19 17:56:04 2022	1642604164	8	18	26	16
Wed Jan 19 17:56:04 2022	1642604164	8	19	26	13
Wed Jan 19 17:56:01 2022	1642604161	6	21	26	20
Wed Jan 19 17:55:57 2022	1642604157	10	16	27	10
Wed Jan 19 17:56:06 2022	1642604166	10	17	27	16
Wed Jan 19 17:55:56 2022	1642604156	10	17	27	16
Wed Jan 19 17:55:56 2022	1642604156	10	17	27	16
Wed Jan 19 17:55:56 2022	1642604156	10	17	27	16
Wed Jan 19 17:55:57 2022	1642604157	13	13	27	12
Wed Jan 19 17:56:07 2022	1642604167	19	7	27	6
Wed Jan 19 17:56:04 2022	1642604164	7	19	27	18
Wed Jan 19 17:55:56 2022	1642604156	9	18	27	18
Wed Jan 19 17:55:56 2022	1642604156	9	17	27	17
Wed Jan 19 17:56:06 2022	1642604166	11	16	27	15
Wed Jan 19 17:56:07 2022	1642604167	18	9	27	7
Wed Jan 19 17:56:05 2022	1642604165	14	13	27	12
Wed Jan 19 17:55:58 2022	1642604158	14	13	27	11
Wed Jan 19 17:56:01 2022	1642604161	14	13	27	11
Wed Jan 19 17:56:06 2022	1642604166	10	17	27	16
Wed Jan 19 17:56:04 2022	1642604164	8	19	27	16
Wed Jan 19 17:56:04 2022	1642604164	10	17	27	15
Wed Jan 19 17:55:57 2022	1642604157	10	17	27	10
Wed Jan 19 17:56:07 2022	1642604167	18	9	27	8
Wed Jan 19 17:56:04 2022	1642604164	7	20	27	19
Wed Jan 19 17:55:55 2022	1642604155	21	6	27	5
Wed Jan 19 17:56:01 2022	1642604161	6	21	27	20
Wed Jan 19 17:56:05 2022	1642604165	10	17	27	14
Wed Jan 19 17:56:04 2022	1642604164	5	22	27	14
Wed Jan 19 17:55:58 2022	1642604158	8	19	27	18
Wed Jan 19 17:55:58 2022	1642604158	14	14	27	12
Wed Jan 19 17:55:54 2022	1642604154	11	16	27	9
Wed Jan 19 17:55:54 2022	1642604154	15	12	27	12
Wed Jan 19 17:55:56 2022	1642604156	9	18	27	18
Wed Jan 19 17:55:55 2022	1642604155	21	6	27	5
Wed Jan 19 17:55:57 2022	1642604157	10	17	27	10
Wed Jan 19 17:55:55 2022	1642604155	6	21	28	20
Wed Jan 19 17:55:55 2022	1642604155	8	20	28	7
Wed Jan 19 17:56:05 2022	1642604165	14	13	28	12
Wed Jan 19 17:55:58 2022	1642604158	19	9	28	7
Wed Jan 19 17:56:01 2022	1642604161	12	15	28	13
Wed Jan 19 17:55:57 2022	1642604157	6	22	28	9
Wed Jan 19 17:56:07 2022	1642604167	20	8	28	7
Wed Jan 19 17:55:54 2022	1642604154	13	15	28	15
Wed Jan 19 17:55:58 2022	1642604158	14	14	28	12
Wed Jan 19 17:56:03 2022	1642604163	0	27	28	17
Wed Jan 19 17:56:01 2022	1642604161	6	21	28	21
Wed Jan 19 17:55:56 2022	1642604156	1	27	28	24
Wed Jan 19 17:55:56 2022	1642604156	0	28	28	26
Wed Jan 19 17:56:04 2022	1642604164	9	19	28	16
Wed Jan 19 17:55:56 2022	1642604156	0	27	28	27
Wed Jan 19 17:55:58 2022	1642604158	10	18	28	15
Wed Jan 19 17:56:04 2022	1642604164	7	21	28	12
Wed Jan 19 17:55:56 2022	1642604156	1	27	28	24
Wed Jan 19 17:56:03 2022	1642604163	14	14	28	13
Wed Jan 19 17:56:04 2022	1642604164	8	20	28	19
Wed Jan 19 17:56:05 2022	1642604165	10	17	28	14
Wed Jan 19 17:56:04 2022	1642604164	5	23	28	14
Wed Jan 19 17:55:56 2022	1642604156	9	19	28	19
Wed Jan 19 17:55:56 2022	1642604156	13	15	28	14
Wed Jan 19 17:56:03 2022	1642604163	13	14	28	13
Wed Jan 19 17:56:04 2022	1642604164	10	18	28	15
Wed Jan 19 17:55:57 2022	1642604157	7	21	28	19
Wed Jan 19 17:55:57 2022	1642604157	2	26	28	10
Wed Jan 19 17:55:58 2022	1642604158	14	14	28	12
Wed Jan 19 17:55:55 2022	1642604155	22	6	28	5
Wed Jan 19 17:56:06 2022	1642604166	13	16	28	15
Wed Jan 19 17:56:06 2022	1642604166	13	15	28	12
Wed Jan 19 17:55:57 2022	1642604157	2	26	28	10
Wed Jan 19 17:56:04 2022	1642604164	12	16	28	15
Wed Jan 19 17:55:57 2022	1642604157	2	27	28	10
Wed Jan 19 17:55:56 2022	1642604156	9	19	28	18
Wed Jan 19 17:55:58 2022	1642604158	10	18	28	15
Wed Jan 19 17:56:05 2022	1642604165	11	18	28	14
Wed Jan 19 17:55:57 2022	1642604157	1	27	28	10
Wed Jan 19 17:55:56 2022	1642604156	0	28	28	28
Wed Jan 19 17:55:57 2022	1642604157	7	22	28	19
Wed Jan 19 17:56:01 2022	1642604161	13	16	28	15
Wed Jan 19 17:55:58 2022	1642604158	14	14	28	12
Wed Jan 19 17:55:57 2022	1642604157	1	28	28	15
Wed Jan 19 17:55:56 2022	1642604156	0	28	28	28
Wed Jan 19 17:55:55 2022	1642604155	8	20	28	20
Wed Jan 19 17:56:01 2022	1642604161	7	22	28	21
Wed Jan 19 17:56:03 2022	1642604163	14	14	28	13
Wed Jan 19 17:55:57 2022	1642604157	1	27	28	11
Wed Jan 19 17:56:06 2022	1642604166	10	19	28	19
Wed Jan 19 17:55:55 2022	1642604155	22	7	28	5
Wed Jan 19 17:55:56 2022	1642604156	0	28	28	28
Wed Jan 19 17:55:54 2022	1642604154	13	15	29	15
Wed Jan 19 17:55:57 2022	1642604157	1	27	29	10
Wed Jan 19 17:55:56 2022	1642604156	13	16	29	15
Wed Jan 19 17:56:04 2022	1642604164	12	17	29	15
Wed Jan 19 17:55:58 2022	1642604158	10	18	29	16
Wed Jan 19 17:56:06 2022	1642604166	13	16	29	15
Wed Jan 19 17:55:55 2022	1642604155	8	21	29	8
Wed Jan 19 17:55:58 2022	1642604158	14	15	29	12
Wed Jan 19 17:56:05 2022	1642604165	11	18	29	14
Wed Jan 19 17:55:58 2022	1642604158	22	7	29	7
Wed Jan 19 17:55:56 2022	1642604156	3	25	29	12
Wed Jan 19 17:55:56 2022	1642604156	4	25	29	12
Wed Jan 19 17:56:03 2022	1642604163	14	15	29	13
Wed Jan 19 17:56:06 2022	1642604166	10	19	29	19
Wed Jan 19 17:56:04 2022	1642604164	8	21	29	13
Wed Jan 19 17:55:56 2022	1642604156	9	20	29	20
Wed Jan 19 17:55:56 2022	1642604156	4	25	29	5
Wed Jan 19 17:55:56 2022	1642604156	1	28	29	16
Wed Jan 19 17:56:01 2022	1642604161	13	16	29	16
Wed Jan 19 17:56:06 2022	1642604166	14	15	29	12
Wed Jan 19 17:56:03 2022	1642604163	14	15	29	14
Wed Jan 19 17:56:04 2022	1642604164	9	20	29	15
Wed Jan 19 17:56:06 2022	1642604166	13	16	29	12
Wed Jan 19 17:56:06 2022	1642604166	7	22	29	22
Wed Jan 19 17:55:56 2022	1642604156	9	20	29	20
Wed Jan 19 17:56:06 2022	1642604166	7	22	29	22
Wed Jan 19 17:55:58 2022	1642604158	14	15	29	13
Wed Jan 19 17:55:56 2022	1642604156	1	28	29	16
Wed Jan 19 17:55:58 2022	1642604158	9	20	29	20
Wed Jan 19 17:55:58 2022	1642604158	10	19	29	16
Wed Jan 19 17:56:04 2022	1642604164	12	17	29	16
Wed Jan 19 17:56:04 2022	1642604164	6	23	29	15
Wed Jan 19 17:55:54 2022	1642604154	13	16	29	16
Wed Jan 19 17:56:06 2022	1642604166	8	21	29	21
Wed Jan 19 17:56:06 2022	1642604166	4	25	29	24
Wed Jan 19 17:55:56 2022	1642604156	1	29	29	16
Wed Jan 19 17:55:56 2022	1642604156	1	29	29	16
Wed Jan 19 17:56:06 2022	1642604166	7	22	29	22
Wed Jan 19 17:55:56 2022	1642604156	1	29	29	16
Wed Jan 19 17:56:04 2022	1642604164	18	11	29	10
Wed Jan 19 17:56:05 2022	1642604165	11	18	29	14
Wed Jan 19 17:56:01 2022	1642604161	13	16	29	16
Wed Jan 19 17:55:57 2022	1642604157	6	23	29	22
Wed Jan 19 17:55:58 2022	1642604158	22	7	29	7
Wed Jan 19 17:56:04 2022	1642604164	6	23	29	15
Wed Jan 19 17:56:04 2022	1642604164	6	23	29	14
Wed Jan 19 17:55:56 2022	1642604156	6	24	29	20
Wed Jan 19 17:56:03 2022	1642604163	14	16	29	14
Wed Jan 19 17:55:55 2022	1642604155	6	23	29	22
Wed Jan 19 17:55:58 2022	1642604158	14	15	29	13
Wed Jan 19 17:55:56 2022	1642604156	1	29	30	25
Wed Jan 19 17:55:56 2022	1642604156	9	20	30	20
Wed Jan 19 17:55:55 2022	1642604155	8	22	30	8
Wed Jan 19 17:56:04 2022	1642604164	18	11	30	10
Wed Jan 19 17:56:05 2022	1642604165	11	18	30	15
Wed Jan 19 17:55:58 2022	1642604158	10	20	30	20
Wed Jan 19 17:55:56 2022	1642604156	1	28	30	16
Wed Jan 19 17:55:56 2022	1642604156	0	29	30	29
Wed Jan 19 17:56:04 2022	1642604164	7	23	30	12
Wed Jan 19 17:56:04 2022	1642604164	13	16	30	12
Wed Jan 19 17:56:06 2022	1642604166	10	20	30	19
Wed Jan 19 17:56:01 2022	1642604161	13	17	30	16
Wed Jan 19 17:55:58 2022	1642604158	14	15	30	14
Wed Jan 19 17:55:55 2022	1642604155	7	23	30	22
Wed Jan 19 17:56:04 2022	1642604164	9	21	30	15
Wed Jan 19 17:56:04 2022	1642604164	10	20	30	15
Wed Jan 19 17:55:56 2022	1642604156	9	21	30	20
Wed Jan 19 17:56:04 2022	1642604164	18	12	30	11
Wed Jan 19 17:56:06 2022	1642604166	14	16	30	12
Wed Jan 19 17:56:04 2022	1642604164	18	11	30	11
Wed Jan 19 17:55:56 2022	1642604156	14	16	30	15
Wed Jan 19 17:56:04 2022	1642604164	10	20	30	19
Wed Jan 19 17:55:54 2022	1642604154	14	16	30	16
Wed Jan 19 17:56:05 2022	1642604165	11	19	30	15
Wed Jan 19 17:56:06 2022	1642604166	2	28	30	23
Wed Jan 19 17:56:04 2022	1642604164	6	24	30	15
Wed Jan 19 17:56:03 2022	1642604163	14	16	30	14
Wed Jan 19 17:55:55 2022	1642604155	20	10	30	6
Wed Jan 19 17:56:04 2022	1642604164	11	20	30	15
Wed Jan 19 17:56:04 2022	1642604164	12	19	30	10
Wed Jan 19 17:56:04 2022	1642604164	12	18	30	16
Wed Jan 19 17:56:04 2022	1642604164	9	21	30	15
Wed Jan 19 17:56:01 2022	1642604161	14	16	30	16
Wed Jan 19 17:55:58 2022	1642604158	7	23	30	23
Wed Jan 19 17:55:56 2022	1642604156	9	21	30	21
Wed Jan 19 17:56:04 2022	1642604164	19	12	30	11
Wed Jan 19 17:55:56 2022	1642604156	15	15	30	6
Wed Jan 19 17:55:58 2022	1642604158	15	15	30	13
Wed Jan 19 17:56:04 2022	1642604164	12	18	30	15
Wed Jan 19 17:56:04 2022	1642604164	18	13	30	12
Wed Jan 19 17:56:05 2022	1642604165	11	19	30	15
Wed Jan 19 17:56:04 2022	1642604164	12	18	30	15
Wed Jan 19 17:55:55 2022	1642604155	7	24	30	22
Wed Jan 19 17:56:01 2022	1642604161	14	17	30	17
Wed Jan 19 17:55:55 2022	1642604155	20	11	31	6
Wed Jan 19 17:56:07 2022	1642604167	21	10	31	9
Wed Jan 19 17:55:55 2022	1642604155	4	27	31	25
Wed Jan 19 17:55:54 2022	1642604154	1	30	31	23
Wed Jan 19 17:55:56 2022	1642604156	4	27	31	25
Wed Jan 19 17:55:56 2022	1642604156	14	17	31	15
Wed Jan 19 17:56:01 2022	1642604161	14	17	31	16
Wed Jan 19 17:56:07 2022	1642604167	21	10	31	9
Wed Jan 19 17:56:04 2022	1642604164	19	12	31	11
Wed Jan 19 17:55:58 2022	1642604158	15	16	31	13
Wed Jan 19 17:55:58 2022	1642604158	14	17	31	15
Wed Jan 19 17:55:57 2022	1642604157	15	15	31	12
Wed Jan 19 17:56:04 2022	1642604164	7	24	31	15
Wed Jan 19 17:55:56 2022	1642604156	0	31	31	27
Wed Jan 19 17:56:05 2022	1642604165	12	19	31	16
Wed Jan 19 17:56:03 2022	1642604163	15	16	31	13
Wed Jan 19 17:55:57 2022	1642604157	10	20	31	15
Wed Jan 19 17:56:07 2022	1642604167	21	10	31	10
Wed Jan 19 17:55:54 2022	1642604154	14	17	31	17
Wed Jan 19 17:55:55 2022	1642604155	4	27	31	25
Wed Jan 19 17:56:04 2022	1642604164	10	21	31	18
Wed Jan 19 17:56:03 2022	1642604163	14	16	31	14
Wed Jan 19 17:56:04 2022	1642604164	13	18	31	16
Wed Jan 19 17:56:01 2022	1642604161	14	17	31	17
Wed Jan 19 17:55:55 2022	1642604155	7	24	31	23
Wed Jan 19 17:55:56 2022	1642604156	3	28	31	16
Wed Jan 19 17:55:58 2022	1642604158	15	16	31	15
Wed Jan 19 17:56:07 2022	1642604167	20	11	31	10
Wed Jan 19 17:55:56 2022	1642604156	4	27	31	25
Wed Jan 19 17:55:56 2022	1642604156	0	31	31	26
Wed Jan 19 17:55:56 2022	1642604156	1	30	31	27
Wed Jan 19 17:55:58 2022	1642604158	14	17	31	15
Wed Jan 19 17:55:57 2022	1642604157	6	25	31	24
Wed Jan 19 17:55:55 2022	1642604155	19	12	31	11
Wed Jan 19 17:56:03 2022	1642604163	15	16	31	13
Wed Jan 19 17:55:56 2022	1642604156	4	27	31	25
Wed Jan 19 17:56:04 2022	1642604164	18	13	31	12
Wed Jan 19 17:55:56 2022	1642604156	15	16	31	16
Wed Jan 19 17:56:01 2022	1642604161	14	17	31	16
Wed Jan 19 17:55:55 2022	1642604155	10	21	31	18
Wed Jan 19 17:55:57 2022	1642604157	8	23	31	11
Wed Jan 19 17:56:04 2022	1642604164	12	19	31	16
Wed Jan 19 17:55:58 2022	1642604158	15	17	31	15
Wed Jan 19 17:56:04 2022	1642604164	15	17	31	12
Wed Jan 19 17:55:55 2022	1642604155	7	24	31	23
Wed Jan 19 17:55:57 2022	1642604157	11	20	31	18
Wed Jan 19 17:56:04 2022	1642604164	15	16	31	12
Wed Jan 19 17:56:07 2022	1642604167	18	13	31	11
Wed Jan 19 17:56:04 2022	1642604164	19	12	31	11
Wed Jan 19 17:55:58 2022	1642604158	15	16	31	15
Wed Jan 19 17:55:56 2022	1642604156	15	17	31	15
Wed Jan 19 17:56:03 2022	1642604163	15	17	31	14
Wed Jan 19 17:55:55 2022	1642604155	6	25	31	21
Wed Jan 19 17:56:04 2022	1642604164	7	25	31	18
Wed Jan 19 17:55:55 2022	1642604155	19	13	31	12
Wed Jan 19 17:56:04 2022	1642604164	7	25	31	12
Wed Jan 19 17:56:01 2022	1642604161	14	18	32	17
Wed Jan 19 17:56:03 2022	1642604163	20	12	32	7
Wed Jan 19 17:55:57 2022	1642604157	6	25	32	24
Wed Jan 19 17:56:01 2022	1642604161	14	17	32	16
Wed Jan 19 17:56:04 2022	1642604164	18	13	32	12
Wed Jan 19 17:55:58 2022	1642604158	15	17	32	15
Wed Jan 19 17:55:57 2022	1642604157	10	21	32	16
Wed Jan 19 17:56:04 2022	1642604164	10	22	32	21
Wed Jan 19 17:55:55 2022	1642604155	7	24	32	9
Wed Jan 19 17:55:58 2022	1642604158	7	24	32	24
Wed Jan 19 17:55:56 2022	1642604156	1	31	32	20
Wed Jan 19 17:55:56 2022	1642604156	9	22	32	22
Wed Jan 19 17:55:54 2022	1642604154	15	17	32	17
Wed Jan 19 17:56:04 2022	1642604164	12	19	32	16
Wed Jan 19 17:55:55 2022	1642604155	4	28	32	26
Wed Jan 19 17:56:03 2022	1642604163	15	17	32	14
Wed Jan 19 17:55:58 2022	1642604158	15	17	32	15
Wed Jan 19 17:56:06 2022	1642604166	14	18	32	15
Wed Jan 19 17:55:55 2022	1642604155	19	13	32	12
Wed Jan 19 17:55:57 2022	1642604157	8	23	32	20
Wed Jan 19 17:55:56 2022	1642604156	9	23	32	23
Wed Jan 19 17:56:01 2022	1642604161	14	18	32	18
Wed Jan 19 17:55:55 2022	1642604155	7	25	32	10
Wed Jan 19 17:56:01 2022	1642604161	14	18	32	16
Wed Jan 19 17:56:06 2022	1642604166	7	25	32	22
Wed Jan 19 17:55:58 2022	1642604158	15	17	32	15
